"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","1","tests.component","test_factories_component","TestOrderFactoryComponent","","","test_create_order_with_mocked_factories","Test order creation with mocked factories."
"passed","Tue Sep 09 21:30:00 UTC 2025","Tue Sep 09 21:30:00 UTC 2025","0","tests.unit","test_helpers_unit","TestMeasureExecutionTime","","","test_measure_execution_time_with_args","Test measuring execution time with function arguments."
"broken","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","0","tests.integration","test_api_examples","TestProductAPI","","","test_update_product","Test updating product information."
"broken","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","1","tests.component","test_factories_component","TestProductFactoryComponent","","","test_create_product_with_mocked_faker","Test product creation with mocked Faker."
"passed","Tue Sep 09 21:30:00 UTC 2025","Tue Sep 09 21:30:00 UTC 2025","0","tests.unit","test_helpers_unit","TestGenerateRandomString","","","test_default_length","Test default string length."
"passed","Tue Sep 09 21:30:00 UTC 2025","Tue Sep 09 21:30:00 UTC 2025","1","tests.unit","test_helpers_unit","TestConvertToDict","","","test_convert_primitive","Test converting primitive types."
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","0","tests","test_allure_example","TestAllureExample","","","Test with external links","This test demonstrates how to add links to Allure reports."
"passed","Tue Sep 09 21:30:00 UTC 2025","Tue Sep 09 21:30:00 UTC 2025","0","tests.unit","test_helpers_unit","TestMaskSensitiveData","","","test_mask_short_data","Test masking short data."
"failed","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","1","tests.integration","test_api_examples","TestProductAPI","","","test_create_product","Test creating a new product."
"passed","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","1","tests.e2e","test_user_registration_e2e","TestUserRegistrationE2E","","","test_user_registration_data_validation","Test user registration data validation."
"broken","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","0","tests.component","test_api_client_component","TestAPIClientComponent","","","test_merge_headers","Test merging headers without overwriting existing ones."
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","105","tests","test_allure_example","TestAllureExample","","","Test with performance metrics","This test demonstrates performance testing with Allure."
"passed","Tue Sep 09 21:30:00 UTC 2025","Tue Sep 09 21:30:00 UTC 2025","1","tests.unit","test_helpers_unit","TestParseTimestamp","","","test_parse_invalid_timestamp","Test parsing invalid timestamp."
"broken","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","1","tests.component","test_factories_component","TestUserFactoryComponent","","","test_user_serialization","Test user serialization to dictionary."
"passed","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","1","tests.component","test_api_client_component","TestAPIClientComponent","","","test_request_connection_error_handling","Test request connection error handling."
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","0","tests.unit","test_framework_basic","TestFrameworkBasic","","","test_product_factory","Test that ProductFactory works."
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","137","tests","test_regression","TestAutomationFrameworkRegression","","","Test performance characteristics","Verify framework performance meets expectations."
"broken","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","0","tests.integration","test_api_examples","TestUserAPI","","","test_update_user","Test updating user information."
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","0","tests","test_allure_example","TestAllureExample","","","Test with pytest fixtures","This test demonstrates pytest fixtures with Allure reporting."
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","23","tests","test_regression","TestAutomationFrameworkRegression","","","Test data factory generation","Verify data factory can generate test data correctly."
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","1","tests.unit","test_framework_basic","TestFrameworkBasic","","","test_parametrized[4]","Test parametrized testing."
"passed","Tue Sep 09 21:30:47 UTC 2025","Tue Sep 09 21:30:47 UTC 2025","1","tests.unit","test_framework_basic","TestFrameworkBasic","","","test_parametrized[5]","Test parametrized testing."
"broken","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","0","tests.integration","test_api_examples","TestOrderAPI","","","test_update_order_status","Test updating order status."
"broken","Tue Sep 09 21:29:59 UTC 2025","Tue Sep 09 21:29:59 UTC 2025","1","tests.component","test_api_client_component","TestAPIClientComponent","","","test_request_with_authentication","Test request with authentication headers."
